Index,Feature,Importance
1507,jml_ddf_76,0.00083473435
531,jml_atom_rad_subs_voro_coord,0.00082976976
116,min_CovalentRadius,0.00082715467
201,jml_mp_divi_voro_coord,0.0008267405
144,mode_NValence,0.0008215461
544,jml_first_ion_en_divi_atom_rad,0.00082105683
136,mode_Column,0.0008209728
1629,jml_nn_19,0.0008173783
1008,jml_rdf_35,0.0008144121
280,jml_hfus_mult_voro_coord,0.00081325823
125,min_NdUnfilled,0.000811897
3,sum_MeltingT,0.00081024924
1450,jml_ddf_19,0.0008081209
1112,jml_adf1_39,0.0008007798
1712,nelements,0.0007992507
1077,jml_adf1_4,0.0007985866
43,avg_SpaceGroupNumber,0.0007977703
511,jml_elec_aff_mult_bp,0.0007958845
1336,jml_adf2_84,0.00079366105
185,jml_therm_cond_subs_mol_vol,0.00078373327
1725,3d_frac,0.0007830214
213,jml_polzbl_mult_X,0.0007722503
556,jml_npunfill,0.00076692103
245,jml_voro_coord_divi_mol_vol,0.00076559675
990,jml_rdf_17,0.0007647792
39,avg_NUnfilled,0.0007619119
667,jml_mean_charge_72,0.0007582709
413,jml_bp_mult_voro_coord,0.0007573692
1102,jml_adf1_29,0.00075493695
336,jml_bp_divi_atom_mass,0.000754155
1340,jml_adf2_88,0.00075231085
395,jml_voro_coord_subs_X,0.0007454714
1061,jml_rdf_88,0.00074349775
1625,jml_nn_15,0.000742727
595,jml_log_vpa,0.00074199366
191,jml_me1,0.0007389799
502,jml_bp_mult_therm_cond,0.0007344903
1302,jml_adf2_50,0.0007286702
73,range_Electronegativity,0.00072804774
1272,jml_adf2_20,0.00072491926
1708,jml_nn_98,0.0007203256
453,jml_first_ion_en_mult_elec_aff,0.0007195945
1458,jml_ddf_27,0.00071846787
1040,jml_rdf_67,0.0007093496
132,mode_Number,0.000706882
59,dev_NdUnfilled,0.00070338644
535,jml_mol_vol_divi_bp,0.00069980056
1634,jml_nn_24,0.0006995287
577,jml_mp_divi_first_ion_en,0.00069524156
37,avg_NdUnfilled,0.00069287326
218,jml_first_ion_en_subs_polzbl,0.0006911211
509,jml_polzbl_mult_mol_vol,0.0006871484
340,jml_mol_vol_divi_voro_coord,0.00068392535
1275,jml_adf2_23,0.0006804832
1058,jml_rdf_85,0.0006776007
1146,jml_adf1_73,0.00067312387
1161,jml_adf1_88,0.00067246397
203,jml_mp_divi_atom_mass,0.00067221693
45,dev_MendeleevNumber,0.00067024905
1538,jml_ddf_107,0.0006693446
1327,jml_adf2_75,0.00066858315
1688,jml_nn_78,0.00066607044
1142,jml_adf1_69,0.00066442817
1713,nsites,0.000658485
1678,jml_nn_68,0.00065720605
1677,jml_nn_67,0.00065308367
459,jml_bp_add_mp,0.00064967637
138,mode_CovalentRadius,0.0006462437
1652,jml_nn_42,0.0006353301
1037,jml_rdf_64,0.00062814064
194,jml_elec_aff_mult_atom_mass,0.00062618905
1045,jml_rdf_72,0.0006253367
354,jml_mp_divi_mol_vol,0.0006226185
1519,jml_ddf_88,0.00061774655
1466,jml_ddf_35,0.00061528746
527,jml_is_transition_metal,0.0006059398
552,jml_Z,0.00060366833
1589,jml_ddf_158,0.0006029001
1174,jml_adf1_101,0.00060237804
1134,jml_adf1_61,0.0006014535
25,avg_MeltingT,0.0006000802
515,jml_polzbl_divi_therm_cond,0.000597364
1578,jml_ddf_147,0.00059683935
299,jml_C-14,0.00059632084
307,jml_mp_add_atom_mass,0.0005958224
1430,jml_adf2_178,0.00059215364
655,jml_mean_charge_60,0.0005911372
1579,jml_ddf_148,0.0005898757
1438,jml_ddf_7,0.00058720127
223,jml_bp_subs_mp,0.00058708055
446,jml_bp_divi_mol_vol,0.0005843735
1137,jml_adf1_64,0.00058175006
52,dev_NsValence,0.00058155006
1088,jml_adf1_15,0.0005815462
1072,jml_rdf_99,0.0005790194
1213,jml_adf1_140,0.00057898543
1078,jml_adf1_5,0.0005783918
1374,jml_adf2_122,0.0005737557
601,jml_mean_charge_6,0.0005734907
516,jml_polzbl_mult_voro_coord,0.00057241856
1244,jml_adf1_171,0.00057240337
339,jml_voro_coord_divi_bp,0.00057166326
923,jml_mean_charge_328,0.0005712023
763,jml_mean_charge_168,0.000570264
1073,jml_rdf_100,0.0005701364
1474,jml_ddf_43,0.0005647292
518,jml_therm_cond_mult_voro_coord,0.00056356017
1121,jml_adf1_48,0.0005603458
1637,jml_nn_27,0.0005602184
1024,jml_rdf_51,0.0005586857
164,jml_polzbl_mult_atom_rad,0.0005580991
193,jml_me2,0.0005560801
1511,jml_ddf_80,0.00055492955
1108,jml_adf1_35,0.0005547251
895,jml_mean_charge_300,0.0005547169
1212,jml_adf1_139,0.0005544451
198,jml_atom_rad_divi_voro_coord,0.00055159914
476,jml_polzbl_divi_atom_mass,0.00055020687
1556,jml_ddf_125,0.0005492961
293,jml_C-12,0.00054842676
1051,jml_rdf_78,0.0005450479
61,dev_NUnfilled,0.0005399346
1311,jml_adf2_59,0.0005390471
1695,jml_nn_85,0.0005369471
222,jml_bp_mult_atom_mass,0.00053656177
1305,jml_adf2_53,0.00053501345
258,jml_oq_bg,0.0005328616
236,jml_mol_vol_subs_voro_coord,0.0005316141
1041,jml_rdf_68,0.0005298679
498,jml_coulmn,0.0005292633
1125,jml_adf1_52,0.00052686624
1039,jml_rdf_66,0.00052505557
1120,jml_adf1_47,0.0005241862
1030,jml_rdf_57,0.00052404194
117,min_Electronegativity,0.0005221619
571,jml_X_subs_hfus,0.00051746395
273,jml_first_ion_en_divi_voro_coord,0.00051726913
1296,jml_adf2_44,0.00051614176
1307,jml_adf2_55,0.00051404716
1490,jml_ddf_59,0.00051072566
1322,jml_adf2_70,0.0005090011
1193,jml_adf1_120,0.0005054441
1014,jml_rdf_41,0.0005049607
197,jml_atom_rad_divi_atom_mass,0.00050206797
257,jml_mol_vol_subs_first_ion_en,0.00050010934
1017,jml_rdf_44,0.0004982731
175,jml_C-6,0.00049634086
1282,jml_adf2_30,0.0004942444
29,avg_Electronegativity,0.00049398956
1348,jml_adf2_96,0.00049105275
394,jml_mol_vol_divi_therm_cond,0.0004904916
444,jml_mol_vol_add_voro_coord,0.00048535957
462,jml_elec_aff_add_atom_rad,0.00048517462
255,jml_hfus_divi_bp,0.00048436032
803,jml_mean_charge_208,0.0004802053
416,jml_voro_coord_divi_polzbl,0.00048015988
111,min_MendeleevNumber,0.00047900566
581,jml_atom_mass_add_X,0.00047708277
1227,jml_adf1_154,0.00047551005
1093,jml_adf1_20,0.000474228
494,jml_hfus_divi_first_ion_en,0.0004734596
171,jml_mol_vol_add_bp,0.0004701025
1220,jml_adf1_147,0.00046948454
632,jml_mean_charge_37,0.00046905255
1715,number,0.0004653038
1689,jml_nn_79,0.00046382353
80,range_NpUnfilled,0.0004621922
1287,jml_adf2_35,0.0004614879
1351,jml_adf2_99,0.00046004137
1341,jml_adf2_89,0.00045826507
262,jml_atom_rad,0.00045744004
1627,jml_nn_17,0.00045723462
1026,jml_rdf_53,0.00045710235
1654,jml_nn_44,0.0004569429
1424,jml_adf2_172,0.00045598342
1166,jml_adf1_93,0.00045450695
1642,jml_nn_32,0.00045422732
1076,jml_adf1_3,0.00045163278
1002,jml_rdf_29,0.00044928197
1733,SumFeCr,0.00044907385
1085,jml_adf1_12,0.00044685355
1720,Cr,0.00044503246
1368,jml_adf2_116,0.00043994543
66,range_Number,0.00043874673
338,jml_hfus_mult_mol_vol,0.00043802723
510,jml_polzbl_add_atom_mass,0.00043681855
640,jml_mean_charge_45,0.0004361789
1130,jml_adf1_57,0.00043492878
1106,jml_adf1_33,0.00043454042
183,jml_hfus_add_elec_aff,0.0004345183
209,jml_hfus_add_atom_rad,0.00043317856
506,jml_atom_mass_divi_first_ion_en,0.00043253577
282,jml_elec_aff_mult_therm_cond,0.00043137433
1299,jml_adf2_47,0.00043036236
1300,jml_adf2_48,0.00042987303
33,avg_NfValence,0.00042975284
370,jml_elec_aff_subs_voro_coord,0.0004295169
448,jml_atom_mass_mult_voro_coord,0.00042918383
170,jml_elec_aff_add_X,0.00042888807
591,jml_first_ion_en_mult_therm_cond,0.00042832785
1167,jml_adf1_94,0.00042751594
288,jml_mol_vol_divi_atom_rad,0.00042750168
145,mode_NsUnfilled,0.00042659967
1460,jml_ddf_29,0.00042608246
166,jml_GV,0.00042529005
148,mode_NfUnfilled,0.00042332982
2,sum_AtomicWeight,0.00042270563
63,dev_GSbandgap,0.00042155263
398,jml_therm_cond_subs_atom_mass,0.0004211862
231,jml_polzbl_divi_mp,0.00042014202
1035,jml_rdf_62,0.0004194625
1323,jml_adf2_71,0.00041915372
1126,jml_adf1_53,0.00041894338
456,jml_mol_vol_subs_hfus,0.0004189343
325,jml_polzbl_mult_therm_cond,0.00041856553
1387,jml_adf2_135,0.00041789227
1065,jml_rdf_92,0.0004178021
94,max_CovalentRadius,0.0004155361
1184,jml_adf1_111,0.00041509568
314,jml_atom_rad_mult_voro_coord,0.00041436192
1431,jml_adf2_179,0.00041366907
615,jml_mean_charge_20,0.00041307855
1503,jml_ddf_72,0.00041301147
1268,jml_adf2_16,0.00041118203
321,jml_hfus_subs_atom_rad,0.000410772
1421,jml_adf2_169,0.0004079517
1159,jml_adf1_86,0.00040776146
1309,jml_adf2_57,0.00040742647
1653,jml_nn_43,0.00040556438
428,jml_therm_cond_divi_polzbl,0.00040530742
1635,jml_nn_25,0.00040471187
36,avg_NpUnfilled,0.00040413943
722,jml_mean_charge_127,0.0004036789
1665,jml_nn_55,0.00040174206
553,jml_polzbl_subs_hfus,0.00040154476
1598,jml_ddf_167,0.0004006547
1019,jml_rdf_46,0.0003986783
64,dev_GSmagmom,0.00039737625
543,jml_mp_divi_bp,0.00039325358
1645,jml_nn_35,0.00039212097
1619,jml_nn_9,0.0003907642
438,jml_hfus_mult_polzbl,0.00038791445
304,jml_X_subs_atom_rad,0.00038681005
645,jml_mean_charge_50,0.0003864478
550,jml_hfus_mult_bp,0.00038525928
1724,Ni,0.00038383616
1013,jml_rdf_40,0.00038334832
1434,jml_ddf_3,0.0003830521
1063,jml_rdf_90,0.00038193527
576,jml_mol_vol_divi_first_ion_en,0.00038122956
660,jml_mean_charge_65,0.0003805329
427,jml_C-21,0.00037986977
306,jml_voro_coord,0.00037985155
894,jml_mean_charge_299,0.0003776914
1501,jml_ddf_70,0.00037745168
1513,jml_ddf_82,0.00037729685
200,jml_polzbl_mult_first_ion_en,0.00037703713
238,jml_polzbl_mult_atom_mass,0.00037585522
1284,jml_adf2_32,0.00037585228
466,jml_voro_coord_divi_first_ion_en,0.00037433204
1116,jml_adf1_43,0.00037295153
969,jml_mean_charge_374,0.00037283666
1718,transition metal fraction,0.0003721028
1362,jml_adf2_110,0.000371818
247,jml_mp_mult_atom_mass,0.0003716451
392,jml_bp_mult_mp,0.0003708685
1353,jml_adf2_101,0.00036940418
600,jml_mean_charge_5,0.00036882612
1343,jml_adf2_91,0.0003687516
225,jml_therm_cond_subs_hfus,0.00036814448
1288,jml_adf2_36,0.00036594525
491,jml_therm_cond_divi_atom_mass,0.00036378662
1127,jml_adf1_54,0.0003619277
1385,jml_adf2_133,0.00035919633
1190,jml_adf1_117,0.00035880596
1354,jml_adf2_102,0.00035831443
1531,jml_ddf_100,0.00035710735
1644,jml_nn_34,0.00035617416
1001,jml_rdf_28,0.00035593272
1420,jml_adf2_168,0.00035271738
56,dev_NValence,0.000352038
360,jml_KV,0.0003512952
1054,jml_rdf_81,0.00034853298
241,jml_mol_vol_mult_bp,0.00034803746
548,jml_mol_vol_mult_atom_rad,0.00034689502
1485,jml_ddf_54,0.00034234038
1576,jml_ddf_145,0.0003423199
1710,jml_nn_100,0.00034215342
1110,jml_adf1_37,0.0003416555
83,range_NUnfilled,0.00034119928
1342,jml_adf2_90,0.00033881076
1690,jml_nn_80,0.00033877775
1465,jml_ddf_34,0.00033810546
572,jml_atom_rad_mult_therm_cond,0.00033796395
28,avg_CovalentRadius,0.00033639444
1028,jml_rdf_55,0.0003359082
1632,jml_nn_22,0.00033587348
1586,jml_ddf_155,0.0003358201
192,jml_me3,0.00033545351
1328,jml_adf2_76,0.0003351042
317,jml_voro_coord_subs_polzbl,0.00033418866
1007,jml_rdf_34,0.00033407004
925,jml_mean_charge_330,0.0003336204
271,jml_polzbl_divi_hfus,0.0003319718
267,jml_first_ion_en_divi_bp,0.00033178707
793,jml_mean_charge_198,0.00033159542
654,jml_mean_charge_59,0.0003298202
1089,jml_adf1_16,0.0003295063
408,jml_mp_mult_therm_cond,0.00032817904
174,jml_C-7,0.00032798032
1257,jml_adf2_5,0.00032754356
1735,SumCrNi,0.00032747988
19,sum_GSbandgap,0.00032585236
14,sum_NpUnfilled,0.0003256131
47,dev_MeltingT,0.00032436076
998,jml_rdf_25,0.00032386873
1228,jml_adf1_155,0.00032213802
1155,jml_adf1_82,0.00032133344
230,jml_first_ion_en_divi_mol_vol,0.00032087523
